timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
2008,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-08,31-Dec-08,X,X,X,X,X,275000,34,84512,50,0.2,24,101,6,25,.,.,.,1
2009,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-09,31-Dec-09,X,X,X,X,X,260000,29,84512,50,0.2,33,136,8.9,37,.,.,.,1
2010,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-10,31-Dec-10,X,X,X,X,X,245000,51,84512,50,0.2,31,132,8.5,36,.,.,.,1
2011,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-11,31-Dec-11,X,X,X,X,X,247000,42,84512,50,0.2,0.5,2,3.1,13,.,.,.,1
2012,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-12,31-Dec-12,X,X,X,X,X,245000,70,84512,50,0.2,0,0,0.7,3,.,.,.,1
2013,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-13,31-Dec-13,X,X,X,X,X,245000,74,84512,50,0.2,0.5,2,0.9,4,.,.,.,1
2014,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-14,31-Dec-14,X,X,X,X,X,305000,89,84512,50,0.2,0.5,2,0.9,4,.,.,.,1
2015,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-15,31-Dec-15,X,X,X,X,X,300000,81,84512,50,0.2,0.5,2,0.9,4,.,.,.,1
2016,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-16,31-Dec-16,X,X,X,X,X,330000,99,84512,50,0.2,0.5,2,0.9,4,.,.,.,1
1995,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-95,31-Dec-95,X,X,X,X,X,134975,34,55933,18,0.1,13,25,3.2,6,.,.,.,1
